날짜,공휴일,날씨,요일,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계
2016-01-01,O,맑음,4,3359,2100,500,400,50,309,200,3559
2016-01-02,X,흐림,0,2800,1800,450,350,40,160,150,2950
2016-01-03,X,비,1,1200,800,200,100,20,80,80,1280
2016-01-07,X,맑음,3,4100,2500,600,500,60,440,220,4320
2016-01-14,X,맑음,3,3800,2300,550,450,55,445,180,3980
2016-02-11,X,맑음,3,5200,3200,700,600,80,620,300,5500
2016-03-01,O,맑음,1,6100,3800,800,700,90,710,350,6450
2016-04-15,X,맑음,4,4500,2800,650,550,70,430,250,4750
2016-05-05,O,맑음,3,8200,5000,1000,900,100,1200,500,8700
2016-06-06,O,맑음,0,7500,4600,950,850,95,1005,450,7950
